Region,Population
Adams County,48.9
Allen County,264.2
Ashland County,125.6
Ashtabula County,144.6
Athens County,128.6
Auglaize County,114.5
Belmont County,132.3
Brown County,91.5
Butler County,788.2
Carroll County,73.1
Champaign County,93.5
Clark County,348
Clermont County,436.5
Clinton County,102.9
Columbiana County,202.7
Coshocton County,65.4
Crawford County,109
Cuyahoga County,2800
Darke County,88.5
Defiance County,94.9
Delaware County,393.2
Erie County,306.4
Fairfield County,289.8
Fayette County,71.4
Franklin County,2186.1
Fulton County,105.3
Gallia County,66.3
Geauga County,233.4
Greene County,390.5
Guernsey County,76.8
Hamilton County,1976.7
Hancock County,140.7
Hardin County,68.1
Harrison County,39.4
Henry County,67.8
Highland County,78.8
Hocking County,69.7
Holmes County,100.3
Huron County,121.3
Jackson County,79
Jefferson County,170.7
Knox County,115.9
Lake County,1011.2
Lawrence County,137.7
Licking County,243.9
Logan County,100
Lorain County,613.6
Lucas County,1296.2
Madison County,93.2
Mahoning County,580.2
Marion County,164.7
Medina County,409
Meigs County,55.3
Mercer County,88.3
Miami County,252.1
Monroe County,32.1
Montgomery County,1159.5
Morgan County,36.2
Morrow County,85.8
Muskingum County,129.5
Noble County,36.8
Ottawa County,162.5
Paulding County,47.1
Perry County,88.4
Pickaway County,111.1
Pike County,65.2
Portage County,331.2
Preble County,99.7
Putnam County,71.5
Richland County,251.3
Ross County,113.3
Sandusky County,149.2
Scioto County,130.3
Seneca County,103
Shelby County,121.2
Stark County,652.9
Summit County,1312.6
Trumbull County,340.1
Tuscarawas County,163.1
Union County,121.1
Van Wert County,70.3
Vinton County,32.6
Warren County,530
Washington County,97.8
Wayne County,206.4
Williams County,89.4
Wood County,203.3
Wyandot County,55.6
